# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 2.0, 0.30, 30.00, 400.00"]}

dive: 2.0, 0.30, 30.00, 400.00
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:09, 134.37, 3.38
EX20, 00:04:10, 134.37, 3.38
EX20, 00:04:10, 134.37, 3.38
EX20, 00:04:10, 134.37, 3.38
EX20, 00:04:10, 134.37, 3.38

EX20, 00:04:10, 134.36, 3.38
EX20, 00:04:10, 134.36, 3.38
EX20, 00:04:10, 134.37, 3.38
EX20, 00:04:10, 134.36, 3.38
EX20, 00:04:11, 134.36, 3.38
EX20, 00:04:11, 134.37, 3.38
EX20, 00:04:11, 134.37, 3.38
EX20, 00:04:11, 134.36, 3.38
EX20, 00:04:11, 134.36, 3.38
EX20, 00:04:11, 134.36, 3.38
EX20, 00:04:11, 134.36, 3.38
EX20, 00:04:11, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:12, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:13, 134.36, 3.38
EX20, 00:04:14, 134.36, 3.38
EX20, 00:04:14, 134.36, 3.38
EX20, 00:04:14, 134.36, 3.38
EX20, 00:04:14, 134.36, 3.38
EX20, 00:04:14, 134.36, 3.38
EX20, 00:04:14, 134.36, 3.38

EX20, 00:04:14, 134.36, 3.38
EX20, 00:04:14, 134.36, 3.38
EX20, 00:04:15, 134.36, 3.38
EX20, 00:04:15, 134.35, 3.38
EX20, 00:04:15, 134.36, 3.38
EX20, 00:04:15, 134.35, 3.38
EX20, 00:04:15, 134.35, 3.38
EX20, 00:04:15, 134.35, 3.38
EX20, 00:04:15, 134.35, 3.38
EX20, 00:04:15, 134.34, 3.38
EX20, 00:04:16, 134.34, 3.38
EX20, 00:04:16, 134.34, 3.38
EX20, 00:04:16, 134.33, 3.38
