# 
{"kP":"1","kD":"0","kI":"0","density":"997","profile":["dive: -2, 0.30, 30.00, 300.00","surface"]}

dive: -2, 0.30, 30.00, 300.00
EX20, 00:01:26, 1.00, 3.34
EX20, 00:01:26, 1.00, 3.34
EX20, 00:01:26, 1.00, 3.34
EX20, 00:01:26, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:27, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:28, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:29, 1.00, 3.34
EX20, 00:01:30, 1.00, 3.34

EX20, 00:01:30, 1.00, 3.34
EX20, 00:01:30, 1.00, 3.34
EX20, 00:01:30, 1.00, 3.34
EX20, 00:01:30, 1.00, 3.34
EX20, 00:01:30, 1.00, 3.34
EX20, 00:01:30, 1.00, 3.34
EX20, 00:01:30, 1.00, 3.34
EX20, 00:01:31, 1.00, 3.34
EX20, 00:01:31, 1.00, 3.34
EX20, 00:01:31, 1.00, 3.34
EX20, 00:01:31, 1.00, 3.34
EX20, 00:01:31, 1.00, 3.34
EX20, 00:01:31, 1.00, 3.34
EX20, 00:01:31, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:32, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:33, 1.00, 3.34
EX20, 00:01:34, 1.00, 3.34
EX20, 00:01:34, 1.00, 3.34
EX20, 00:01:34, 1.00, 3.34
EX20, 00:01:34, 1.00, 3.34
EX20, 00:01:34, 1.00, 3.34
EX20, 00:01:34, 1.00, 3.34
EX20, 00:01:34, 1.00, 3.34

EX20, 00:01:34, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:35, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:36, 1.00, 3.34
EX20, 00:01:37, 1.00, 3.34
EX20, 00:01:37, 1.00, 3.34
EX20, 00:01:37, 1.00, 3.34
EX20, 00:01:37, 1.00, 3.34
EX20, 00:01:37, 1.00, 3.34
EX20, 00:01:37, 1.00, 3.34
EX20, 00:01:37, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:38, 1.00, 3.34
EX20, 00:01:39, 1.00, 3.34
EX20, 00:01:39, 1.00, 3.34
EX20, 00:01:39, 1.00, 3.34
EX20, 00:01:39, 1.00, 3.34
EX20, 00:01:39, 1.00, 3.34

EX20, 00:01:39, 1.00, 3.34
EX20, 00:01:39, 1.00, 3.34
EX20, 00:01:39, 1.00, 3.34
EX20, 00:01:40, 1.00, 3.34
EX20, 00:01:40, 1.00, 3.34
EX20, 00:01:40, 1.00, 3.34
