# 
{"kP":"0.04","kD":"0","kI":"0","density":"997","profile":["surface","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","dive: 2.5, 0.33, 40.0, 500.0, 0.44","dive: 0.4, 0.33, 40.0, 500.0, 0.0","surface","led: 0, 0, 125"]}

surface
EX20, 4853, 0.00


EX20, 266713, 0.62
EX20, 267729, 0.64
EX20, 268743, 0.65
EX20, 269757, 0.65
EX20, 270772, 0.65
EX20, 271786, 0.64
EX20, 272800, 0.62
EX20, 273816, 0.60
EX20, 274830, 0.58
EX20, 275844, 0.56
EX20, 276859, 0.54
EX20, 277873, 0.52
EX20, 278887, 0.52
EX20, 279903, 0.53
EX20, 280917, 0.54
EX20, 281930, 0.57
EX20, 282946, 0.59
EX20, 283960, 0.61
EX20, 284974, 0.64
EX20, 285989, 0.65

EX20, 287028, 0.66
EX20, 288042, 0.65
EX20, 289058, 0.65
EX20, 290072, 0.63
EX20, 291086, 0.62
EX20, 292101, 0.59
EX20, 293115, 0.56
EX20, 294129, 0.54


# dive: 2.5, 0.33, 40.0, 500.0, 0.44
EX20, 295157, 0.97
EX20, 296171, 0.96
EX20, 297185, 0.97
EX20, 298200, 0.99
EX20, 299214, 1.03
EX20, 300228, 1.09
EX20, 301243, 1.15
EX20, 302257, 1.21
EX20, 303271, 1.28
EX20, 304286, 1.34
EX20, 305300, 1.41
EX20, 306314, 1.48
EX20, 307329, 1.53
EX20, 308343, 1.57
EX20, 309357, 1.61
EX20, 310372, 1.64
EX20, 311386, 1.66
EX20, 312400, 1.66
EX20, 313416, 1.66
EX20, 314430, 1.65
EX20, 315443, 1.64
EX20, 316459, 1.63
EX20, 317473, 1.64
EX20, 318487, 1.65
EX20, 319502, 1.67
EX20, 320516, 1.70
EX20, 321530, 1.74
EX20, 322545, 1.78
EX20, 323559, 1.82
EX20, 324573, 1.86
EX20, 325588, 1.90
EX20, 326602, 1.93
EX20, 327616, 1.95
EX20, 328631, 1.97
EX20, 329645, 1.99
EX20, 330659, 2.00
EX20, 331675, 2.00
EX20, 332689, 2.01
EX20, 333703, 2.01
EX20, 334718, 2.02
EX20, 335732, 2.03
EX20, 336746, 2.04
EX20, 337762, 2.05
EX20, 338775, 2.07
EX20, 339789, 2.09
EX20, 340805, 2.11
EX20, 341819, 2.12
EX20, 342833, 2.14
EX20, 343848, 2.15
EX20, 344862, 2.17
EX20, 345876, 2.18
EX20, 346891, 2.19

EX20, 347931, 2.19
EX20, 348945, 2.19
EX20, 349961, 2.19
EX20, 350975, 2.18
EX20, 351989, 2.18
EX20, 353005, 2.18
EX20, 354019, 2.19
EX20, 355033, 2.20
EX20, 356048, 2.22
EX20, 357062, 2.25
EX20, 358076, 2.28
EX20, 359091, 2.31
EX20, 360105, 2.33
EX20, 361119, 2.36
EX20, 362135, 2.38
EX20, 363149, 2.39
EX20, 364163, 2.39
EX20, 365178, 2.39
EX20, 366192, 2.38
EX20, 367206, 2.36
EX20, 368222, 2.34
EX20, 369236, 2.33
EX20, 370250, 2.33
EX20, 371266, 2.33
EX20, 372280, 2.34
EX20, 373294, 2.35
EX20, 374309, 2.37
EX20, 375323, 2.38
EX20, 376337, 2.39
EX20, 377352, 2.40
EX20, 378366, 2.40
EX20, 379381, 2.40
