# 
{"kP":"0.1","kD":"0","kI":"0","density":"997","profile":["dive: 1.8, 0.30, 30.00, 300.00","surface"]}

dive: 1.8, 0.30, 30.00, 300.00
EX20, 00:09:50, -0.15, 3.34
EX20, 00:09:51, -0.15, 3.33
EX20, 00:09:51, -0.15, 3.33
EX20, 00:09:51, -0.15, 3.33
EX20, 00:09:51, -0.15, 3.33
EX20, 00:09:51, -0.15, 3.33
EX20, 00:09:51, -0.15, 3.33
EX20, 00:09:51, -0.15, 3.34
EX20, 00:09:51, -0.15, 3.34
EX20, 00:09:52, -0.15, 3.35
EX20, 00:09:52, -0.15, 3.35
EX20, 00:09:52, -0.15, 3.35
EX20, 00:09:52, -0.15, 3.35
EX20, 00:09:52, -0.15, 3.35
EX20, 00:09:52, -0.15, 3.35
EX20, 00:09:52, -0.15, 3.35
EX20, 00:09:53, -0.15, 3.35
EX20, 00:09:53, -0.15, 3.35
EX20, 00:09:53, -0.15, 3.35
EX20, 00:09:53, -0.15, 3.35
EX20, 00:09:53, -0.16, 3.35
EX20, 00:09:53, -0.16, 3.35
EX20, 00:09:53, -0.16, 3.35
EX20, 00:09:53, -0.16, 3.35
EX20, 00:09:54, -0.16, 3.35
EX20, 00:09:54, -0.16, 3.35
EX20, 00:09:54, -0.16, 3.35
EX20, 00:09:54, -0.16, 3.35

EX20, 00:09:54, -0.16, 3.35
EX20, 00:09:54, -0.16, 3.35
EX20, 00:09:54, -0.16, 3.35
EX20, 00:09:54, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:55, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:56, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:57, -0.16, 3.35
EX20, 00:09:58, -0.16, 3.35
EX20, 00:09:58, -0.16, 3.35
EX20, 00:09:58, -0.16, 3.35
EX20, 00:09:58, -0.16, 3.35
EX20, 00:09:58, -0.16, 3.35
EX20, 00:09:58, -0.16, 3.35
EX20, 00:09:58, -0.16, 3.35

EX20, 00:09:59, -0.16, 3.35
EX20, 00:09:59, -0.16, 3.35
EX20, 00:09:59, -0.16, 3.35
EX20, 00:09:59, -0.16, 3.35
EX20, 00:09:59, -0.16, 3.35
EX20, 00:09:59, -0.16, 3.35
EX20, 00:09:59, -0.16, 3.35
EX20, 00:09:59, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:00, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
EX20, 00:10:01, -0.16, 3.35
