# 
{"kP":"2","kD":"0","kI":"0","density":"997","profile":["dive: 1.4, 0.30, 30.00, 300.00","surface"]}

dive: 1.4, 0.30, 30.00, 300.00
EX20, 00:23:32, -3.92, 3.36
EX20, 00:23:32, -3.92, 3.36

EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:33, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:34, -3.92, 3.36
EX20, 00:23:35, -3.92, 3.36
EX20, 00:23:35, -3.91, 3.35
EX20, 00:23:35, -3.91, 3.35
EX20, 00:23:35, -3.91, 3.35
EX20, 00:23:35, -3.91, 3.35
EX20, 00:23:35, -3.91, 3.35
EX20, 00:23:35, -3.91, 3.35
EX20, 00:23:35, -3.91, 3.35
EX20, 00:23:36, -3.91, 3.35
EX20, 00:23:36, -3.90, 3.35
EX20, 00:23:36, -3.90, 3.35
EX20, 00:23:36, -3.90, 3.34
EX20, 00:23:36, -3.90, 3.34
EX20, 00:23:36, -3.90, 3.34
EX20, 00:23:36, -3.90, 3.34
EX20, 00:23:37, -3.90, 3.34
EX20, 00:23:37, -3.90, 3.33
EX20, 00:23:37, -3.86, 3.33
EX20, 00:23:37, -3.86, 3.33

EX20, 00:23:37, -3.86, 3.32
EX20, 00:23:37, -3.86, 3.32
EX20, 00:23:37, -3.86, 3.32
EX20, 00:23:37, -3.86, 3.31
EX20, 00:23:38, -3.86, 3.31
EX20, 00:23:38, -3.86, 3.30
EX20, 00:23:38, -3.80, 3.30
EX20, 00:23:38, -3.80, 3.30
EX20, 00:23:38, -3.80, 3.29
EX20, 00:23:38, -3.80, 3.29
EX20, 00:23:38, -3.80, 3.28
EX20, 00:23:38, -3.80, 3.28
EX20, 00:23:39, -3.80, 3.27
EX20, 00:23:39, -3.80, 3.27
EX20, 00:23:39, -3.73, 3.26
EX20, 00:23:39, -3.73, 3.26
EX20, 00:23:39, -3.73, 3.25
EX20, 00:23:39, -3.73, 3.25
EX20, 00:23:39, -3.73, 3.24
EX20, 00:23:39, -3.73, 3.23
EX20, 00:23:40, -3.73, 3.23
